,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
7,1,2,11377380,110,House,7,Entire home/apt,5.0
8,1,2,9239248,55,Apartment,42,Private room,5.0
9,1,2,11148618,69,Loft,20,Private room,5.0
10,1,1,1361052,60,House,10,Private room,5.0
11,1,2,7956414,45,Apartment,10,Private room,5.0
12,1,2,11047622,68,Apartment,11,Private room,5.0
13,0,2,33449,58,Other,143,Entire home/apt,5.0
14,1,2,723941,80,Loft,21,Entire home/apt,5.0
15,1,2,8841624,55,House,21,Private room,5.0
16,1,2,6805923,95,House,58,Private room,5.0
17,2,6,10973780,135,House,6,Entire home/apt,4.5
0,1,2,12285659,45,Townhouse,1,Private room,0.0
1,1,1,10679923,59,Dorm,5,Private room,4.5
2,1,2,6743285,120,House,41,Entire home/apt,5.0
3,1,2,7904509,48,House,42,Private room,5.0
4,1,3,6244013,134,Apartment,86,Entire home/apt,5.0
5,0,2,8151515,112,Cabin,34,Entire home/apt,5.0
6,1,2,9904008,40,House,8,Private room,4.5
7,1,2,11377067,50,House,0,Private room,0.0
8,1,2,12447224,105,Apartment,0,Entire home/apt,0.0
9,1,2,8988848,75,Apartment,59,Private room,5.0
10,1,1,1275351,50,Apartment,60,Private room,5.0
11,1,2,6003758,59,House,64,Private room,5.0
12,0,2,6993807,65,Apartment,3,Entire home/apt,2.5
13,1,2,1903320,109,Loft,40,Entire home/apt,5.0
14,1,2,2866362,77,Apartment,30,Private room,4.5
15,1,2,11377380,110,House,7,Entire home/apt,5.0
16,1,1,4094189,39,Apartment,119,Private room,4.5
17,1,1,1361052,60,House,10,Private room,5.0
0,1,1,2345363,55,Apartment,161,Private room,5.0
1,1,2,12230156,100,Apartment,0,Private room,0.0
2,1,2,4453729,55,Apartment,4,Shared room,5.0
3,1,2,10836671,129,House,5,Private room,5.0
4,1,2,8012663,64,House,29,Private room,5.0
5,0,3,10682977,68,Apartment,9,Entire home/apt,5.0
6,1,1,12285467,34,House,0,Shared room,0.0
7,0,2,3884769,109,House,234,Entire home/apt,5.0
8,0,3,4803648,79,Apartment,32,Entire home/apt,5.0
9,1,2,7037077,115,Apartment,16,Private room,5.0
10,1,2,9025965,61,House,22,Private room,5.0
11,1,3,12370520,99,Apartment,1,Entire home/apt,0.0
12,1,2,12121813,80,Apartment,0,Private room,0.0
13,2,3,5526245,119,Loft,3,Entire home/apt,5.0
14,1,2,11609369,65,Apartment,10,Private room,5.0
15,0,2,8532464,60,Apartment,6,Entire home/apt,5.0
16,0,2,6317910,95,Apartment,18,Entire home/apt,5.0
17,1,2,6311019,129,Apartment,23,Entire home/apt,5.0
0,1,2,8261443,109,Apartment,2,Entire home/apt,0.0
1,1,2,6292762,59,Townhouse,16,Private room,5.0
2,1,2,1336082,110,Apartment,25,Entire home/apt,5.0
3,1,2,8009799,75,House,30,Private room,5.0
4,1,1,1606395,52,House,80,Private room,5.0
5,1,2,12135399,65,Apartment,0,Private room,0.0
6,1,3,6979021,90,Apartment,18,Entire home/apt,4.5
7,2,3,2908747,109,House,16,Entire home/apt,5.0
8,1,2,5651075,149,Apartment,2,Entire home/apt,0.0
9,1,2,1025161,99,House,216,Private room,5.0
10,1,2,11565061,44,House,6,Private room,4.5
11,1,2,2940102,56,Apartment,54,Private room,5.0
12,1,1,10274815,35,House,7,Private room,4.5
13,1,3,1683548,125,Loft,67,Entire home/apt,5.0
14,1,1,9300954,25,Apartment,12,Shared room,4.5
15,1,2,9960835,85,Apartment,0,Private room,0.0
16,1,2,1847806,50,Bungalow,78,Private room,5.0
17,1,2,11987588,99,House,8,Private room,5.0
0,1,2,10924341,96,House,14,Entire home/apt,5.0
1,1,1,4034163,50,House,1,Private room,0.0
2,1,1,7575582,31,House,29,Private room,4.5
3,1,4,1317166,150,House,111,Private room,5.0
4,1,2,10414541,99,Townhouse,6,Private room,5.0
5,1,3,9875256,130,Apartment,6,Entire home/apt,4.5
6,1,2,1371132,80,House,21,Private room,5.0
7,1,1,12406695,41,House,1,Private room,0.0
8,1,1,11659555,29,Apartment,10,Shared room,4.5
9,1,2,12148306,49,Apartment,0,Private room,0.0
10,0,2,9653615,99,House,30,Entire home/apt,5.0
11,1,1,12088647,32,House,1,Private room,0.0
12,1,2,10766814,40,House,24,Private room,5.0
13,1,2,8850449,75,Apartment,36,Private room,5.0
14,1,2,6973562,93,Apartment,43,Private room,5.0
15,1,2,6971766,150,Apartment,0,Entire home/apt,0.0
16,1,2,9716856,54,Bungalow,3,Private room,5.0
17,1,4,12427006,75,Apartment,1,Entire home/apt,0.0
0,1,2,9508320,95,Apartment,38,Private room,5.0
1,1,2,854589,63,House,19,Private room,5.0
2,1,3,8870167,99,Apartment,12,Entire home/apt,4.5
3,1,2,10232354,50,House,43,Private room,5.0
4,1,2,1881968,100,Apartment,17,Entire home/apt,4.5
5,1,2,50358,50,House,55,Private room,5.0
6,1,2,5720005,125,House,24,Private room,5.0
7,1,2,642151,69,House,45,Private room,4.5
8,0,2,8763159,160,Apartment,36,Entire home/apt,4.5
9,1,2,9217960,60,Apartment,6,Private room,5.0
10,1,2,10251866,79,Loft,8,Private room,5.0
11,1,2,11612857,80,Apartment,0,Entire home/apt,0.0
12,0,1,10028001,53,Other,16,Entire home/apt,4.5
13,1,2,6586040,59,Loft,82,Private room,4.5
14,1,1,422776,90,Apartment,0,Entire home/apt,0.0
15,1,2,5651740,43,Apartment,114,Shared room,5.0
16,0,2,8237195,70,Apartment,33,Entire home/apt,5.0
17,1,2,10473329,65,Apartment,1,Private room,0.0
0,1,2,7807274,120,Apartment,20,Entire home/apt,5.0
1,1,2,8304721,90,Apartment,15,Entire home/apt,5.0
2,0,2,7462294,100,House,23,Entire home/apt,5.0
3,0,2,9254709,84,House,20,Entire home/apt,5.0
4,1,2,11357962,99,Apartment,16,Private room,5.0
5,1,2,5581820,58,Loft,85,Private room,5.0
6,1,2,581058,55,House,81,Private room,5.0
7,1,1,256134,65,Apartment,81,Private room,5.0
8,1,2,8194294,54,House,10,Private room,5.0
9,0,4,4997209,99,Apartment,123,Entire home/apt,4.5
10,0,2,4526471,103,Apartment,93,Entire home/apt,4.5
11,1,3,12204042,60,House,3,Private room,4.5
12,1,2,7147670,64,House,49,Private room,5.0
13,1,2,3668495,115,House,62,Entire home/apt,5.0
14,1,2,4227142,70,Apartment,110,Private room,5.0
15,1,4,11722379,75,Apartment,6,Entire home/apt,5.0
16,1,2,1319881,99,Apartment,40,Entire home/apt,4.5
17,0,2,10566503,79,Apartment,3,Entire home/apt,4.5
0,1,2,10754964,45,Apartment,9,Private room,3.5
1,1,2,3668495,115,House,62,Entire home/apt,5.0
2,1,2,4227142,70,Apartment,110,Private room,5.0
3,1,4,11722379,75,Apartment,6,Entire home/apt,5.0
4,1,2,1319881,99,Apartment,40,Entire home/apt,4.5
5,0,2,10566503,79,Apartment,3,Entire home/apt,4.5
6,1,2,9261924,59,Apartment,2,Private room,0.0
7,1,1,2988602,59,Cabin,51,Entire home/apt,5.0
8,0,2,3497266,125,Apartment,6,Entire home/apt,5.0
9,2,2,3665417,149,Apartment,26,Entire home/apt,4.5
10,1,2,5814570,76,Apartment,88,Private room,5.0
11,1,2,5447718,60,House,25,Private room,5.0
12,1,3,1943502,149,Loft,265,Entire home/apt,4.5
13,1,2,10366276,75,Apartment,0,Private room,0.0
14,1,2,3612212,58,House,24,Private room,5.0
15,0,3,12381175,69,Apartment,0,Entire home/apt,0.0
16,1,2,11461383,96,House,17,Private room,5.0
17,1,2,1665575,88,House,47,Private room,5.0
