,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
14,1.0,1,7965847,58,House,6,Private room,4.5
15,1.0,1,8704528,43,Apartment,29,Private room,5.0
16,1.0,1,8364692,65,Apartment,13,Private room,5.0
17,1.0,2,205043,150,Apartment,49,Private room,5.0
0,1.0,1,7965847,58,House,6,Private room,4.5
1,1.0,1,8704528,43,Apartment,29,Private room,5.0
2,1.0,1,8364692,65,Apartment,13,Private room,5.0
3,1.0,2,205043,150,Apartment,49,Private room,5.0
4,1.0,1,9548866,37,Apartment,6,Shared room,5.0
5,1.0,2,11927793,68,Condominium,7,Private room,4.5
6,1.0,1,8473327,39,Apartment,36,Private room,4.0
7,1.0,2,11893359,105,Apartment,1,Private room,0.0
8,1.0,2,1392003,75,Apartment,14,Private room,5.0
9,1.0,1,8923020,38,Apartment,3,Private room,4.5
10,1.0,2,2061725,58,Apartment,94,Private room,5.0
11,1.0,2,51485,80,Apartment,164,Private room,4.5
12,1.0,2,6924876,58,Apartment,12,Private room,5.0
13,1.0,2,7501292,99,Apartment,7,Entire home/apt,4.5
14,1.0,2,9508063,120,Apartment,0,Entire home/apt,0.0
15,1.0,2,6882689,198,Apartment,17,Entire home/apt,5.0
16,1.0,1,8956096,20,House,15,Shared room,4.5
17,1.0,2,9254533,99,Apartment,13,Private room,5.0
0,1.0,2,9517507,78,Apartment,15,Private room,4.0
1,1.0,2,12389464,75,Apartment,0,Private room,0.0
2,1.0,2,3851571,185,Apartment,17,Entire home/apt,5.0
3,1.0,2,12234139,143,Apartment,1,Entire home/apt,0.0
4,1.0,2,12048,45,Apartment,150,Shared room,5.0
5,1.0,3,9452700,130,Apartment,20,Entire home/apt,4.5
6,1.0,2,1892319,80,Apartment,25,Private room,5.0
7,1.0,3,4580384,110,Apartment,15,Entire home/apt,4.5
8,0.0,2,9736242,220,Apartment,4,Entire home/apt,5.0
9,1.0,2,7064148,90,Apartment,20,Private room,5.0
10,1.0,3,9525288,145,Apartment,4,Entire home/apt,5.0
11,1.0,4,7303759,98,Apartment,10,Entire home/apt,4.5
12,1.0,1,10676073,20,Apartment,11,Shared room,5.0
13,1.0,2,2897471,75,Apartment,25,Private room,4.5
14,1.0,2,9215307,90,Apartment,16,Private room,5.0
15,1.0,3,6506404,100,Apartment,8,Entire home/apt,5.0
16,1.0,2,6106676,60,Apartment,6,Private room,4.5
17,1.0,2,4112763,115,Apartment,5,Entire home/apt,5.0
0,1.0,2,11701222,26,Townhouse,1,Private room,0.0
1,1.0,2,8035143,120,Apartment,23,Private room,5.0
2,1.0,2,12407680,110,Apartment,0,Private room,0.0
3,1.0,6,351939,203,Apartment,48,Entire home/apt,5.0
4,1.0,1,8538543,35,Apartment,3,Private room,4.5
5,1.0,3,10281702,175,Apartment,2,Entire home/apt,0.0
6,1.0,1,9097664,29,Apartment,3,Private room,4.5
7,1.0,1,10538427,75,Apartment,6,Private room,5.0
8,2.0,2,12199977,130,Apartment,0,Entire home/apt,0.0
9,1.0,2,11624657,85,Apartment,5,Private room,5.0
10,1.0,2,9941603,100,Apartment,22,Private room,5.0
11,1.0,2,10568208,73,Apartment,9,Private room,5.0
12,1.0,2,742795,100,Apartment,52,Entire home/apt,4.5
13,1.0,2,9517507,78,Apartment,15,Private room,4.0
14,0.0,2,11891606,132,Condominium,1,Entire home/apt,0.0
15,1.0,2,12389464,75,Apartment,0,Private room,0.0
16,1.0,2,3851571,185,Apartment,17,Entire home/apt,5.0
17,0.0,2,8799529,100,Apartment,4,Entire home/apt,5.0
0,1.0,2,4164672,65,Townhouse,11,Private room,5.0
1,1.0,2,6536249,108,Apartment,8,Entire home/apt,5.0
2,1.0,2,11947219,49,Apartment,1,Private room,0.0
3,1.0,4,4461909,250,Apartment,9,Entire home/apt,4.5
4,1.0,2,9033081,110,Apartment,4,Entire home/apt,5.0
5,1.0,2,8436207,59,House,43,Private room,5.0
6,1.0,2,9973514,50,Apartment,2,Private room,0.0
7,0.0,4,4482049,116,Loft,3,Entire home/apt,5.0
8,1.0,1,10941617,50,Apartment,1,Private room,0.0
9,1.0,2,11827729,90,Apartment,5,Private room,5.0
10,1.0,2,10513228,50,Apartment,5,Private room,5.0
11,1.0,1,8905651,52,Apartment,4,Private room,5.0
12,1.0,1,11146432,50,Apartment,9,Private room,5.0
13,1.0,2,6686140,99,Apartment,8,Entire home/apt,5.0
14,1.0,2,9315559,55,Apartment,13,Private room,5.0
15,2.0,5,12446551,89,Apartment,1,Entire home/apt,0.0
16,1.0,2,12070309,75,Apartment,0,Private room,0.0
17,1.0,1,11439212,60,Apartment,8,Private room,5.0
0,0.0,2,7068230,130,Apartment,11,Entire home/apt,5.0
1,1.0,2,2061725,58,Apartment,94,Private room,5.0
2,1.0,2,51485,80,Apartment,164,Private room,4.5
3,0.0,2,9173096,149,Apartment,6,Entire home/apt,5.0
4,1.0,3,11943669,125,Apartment,1,Entire home/apt,0.0
5,1.0,3,12422277,135,Apartment,1,Entire home/apt,0.0
6,1.0,1,8956096,20,House,15,Shared room,4.5
7,1.0,2,9254533,99,Apartment,13,Private room,5.0
8,1.0,2,12027963,100,Apartment,1,Private room,0.0
9,1.0,1,2656101,75,Apartment,2,Private room,0.0
10,1.0,2,1514228,105,Apartment,18,Entire home/apt,5.0
11,1.0,3,3831,85,Townhouse,55,Entire home/apt,4.5
12,1.0,1,10059228,60,Apartment,11,Private room,4.5
13,1.0,2,9451597,42,House,22,Private room,5.0
14,1.0,2,11121959,42,Apartment,15,Private room,5.0
