,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,log_Capacity,City_DA,City_DC,City_LA,City_NY,City_SF
0,1.0,2,100,9,1,5.0,92.9183006536,4.60517018599,4.41407475997,2.19722457734,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
1,1.0,3,160,22,2,4.5,92.9183006536,5.07517381523,4.41407475997,3.09104245336,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
2,1.0,1,69,37,1,5.0,92.9183006536,4.2341065046,4.41407475997,3.61091791264,1,0.0,0.0,0.0,0.0,1.0,0.0
3,0.0,1,70,8,2,4.5,92.9183006536,4.24849524205,4.41407475997,2.07944154168,1,0.0,0.0,0.0,0.0,1.0,0.0
4,1.0,2,110,11,2,4.5,92.9183006536,4.70048036579,4.41407475997,2.3978952728,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
5,1.0,2,99,1,1,0.0,92.9183006536,4.59511985013,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
6,1.0,2,90,6,1,5.0,92.9183006536,4.49980967033,4.41407475997,1.79175946923,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
7,1.0,2,60,9,1,5.0,92.9183006536,4.09434456222,4.41407475997,2.19722457734,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
8,1.0,4,175,28,2,5.0,92.9183006536,5.16478597392,4.41407475997,3.33220451018,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
9,1.0,2,65,2,1,0.0,92.9183006536,4.1743872699,4.41407475997,0.69314718056,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
10,1.0,2,79,34,1,5.0,92.9183006536,4.36944785247,4.41407475997,3.52636052462,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
11,1.0,2,40,10,1,5.0,92.9183006536,3.68887945411,4.41407475997,2.30258509299,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
