,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
15,1.0,3,7193209,145,Apartment,7,Entire home/apt,5.0
16,1.0,4,12236198,75,Apartment,2,Private room,0.0
17,1.0,2,6810220,95,Apartment,27,Private room,4.5
0,1.0,2,10940485,100,Apartment,6,Private room,5.0
1,1.0,1,11303001,48,Apartment,4,Private room,5.0
2,1.0,1,7462923,40,Apartment,51,Shared room,4.5
3,1.0,2,678556,130,House,193,Entire home/apt,5.0
4,1.0,2,11951068,69,Apartment,4,Private room,4.5
5,1.0,2,10930490,85,House,19,Entire home/apt,5.0
6,1.0,3,8975105,145,Apartment,5,Entire home/apt,5.0
7,1.0,2,8650354,100,Apartment,10,Private room,4.5
8,1.0,2,7965068,98,Apartment,11,Entire home/apt,5.0
9,0.0,4,8456859,160,House,26,Entire home/apt,4.5
10,1.0,1,1566931,70,Apartment,5,Shared room,5.0
11,1.0,2,3811916,130,Apartment,88,Private room,5.0
12,1.0,1,1317908,95,Apartment,43,Private room,5.0
13,0.0,3,12230731,125,Apartment,1,Entire home/apt,0.0
14,1.0,2,5754979,100,Apartment,26,Private room,5.0
15,1.0,1,52713,109,Apartment,125,Private room,4.5
16,1.0,2,6602572,160,Apartment,0,Entire home/apt,0.0
17,1.0,2,12275291,61,House,0,Private room,0.0
0,1.0,2,11856376,71,House,5,Private room,5.0
1,1.0,2,10528294,130,Apartment,7,Private room,5.0
2,0.0,2,8743545,120,Apartment,5,Entire home/apt,5.0
3,1.0,3,8337954,70,Apartment,12,Private room,4.5
4,0.0,2,8224358,130,Apartment,15,Entire home/apt,4.5
5,0.0,2,8288576,90,Apartment,25,Entire home/apt,4.0
6,1.0,2,1551553,120,Apartment,26,Private room,5.0
7,1.0,2,216042,147,House,41,Entire home/apt,5.0
8,0.0,2,4681835,145,Apartment,5,Entire home/apt,5.0
9,1.0,2,7066823,69,House,41,Private room,5.0
10,2.0,4,7933407,204,House,21,Entire home/apt,5.0
11,1.0,3,2160741,199,Apartment,64,Entire home/apt,5.0
12,1.0,1,3268637,70,Apartment,179,Private room,4.5
13,0.0,1,7030125,130,Condominium,10,Entire home/apt,5.0
14,1.0,2,2739803,109,Apartment,47,Entire home/apt,5.0
15,1.0,1,568161,65,House,161,Private room,5.0
16,1.0,2,9696833,99,Condominium,7,Private room,5.0
