,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
2,1,2,10859546,145,Apartment,2,Entire home/apt,0.0
3,1,2,7500700,95,Apartment,22,Entire home/apt,5.0
4,1,2,4375,50,House,24,Private room,5.0
5,1,2,6878647,89,Apartment,21,Private room,5.0
6,1,2,7039348,95,Apartment,16,Private room,5.0
7,1,2,10266099,40,House,7,Private room,5.0
8,1,1,7635699,68,Apartment,44,Private room,4.5
9,1,2,5132940,79,House,126,Private room,5.0
10,1,1,9786659,25,House,4,Private room,4.5
11,1,2,4684020,52,Apartment,42,Private room,5.0
12,0,2,12271964,109,Condominium,0,Entire home/apt,0.0
13,1,2,7999372,119,Apartment,4,Entire home/apt,5.0
14,1,2,3985853,79,Apartment,20,Private room,4.5
15,1,3,8164181,85,Apartment,41,Entire home/apt,4.5
16,1,4,10526371,140,Apartment,1,Entire home/apt,0.0
17,1,2,7826994,48,House,20,Private room,4.5
0,0,3,12223526,130,Apartment,0,Entire home/apt,0.0
1,1,2,6025182,85,Apartment,34,Private room,5.0
2,0,1,8505480,70,Other,4,Entire home/apt,5.0
3,1,1,2176992,60,Apartment,19,Private room,5.0
4,0,2,2432627,76,Apartment,27,Entire home/apt,5.0
5,1,1,12039705,48,Bed & Breakfast,2,Shared room,0.0
6,1,2,8838057,100,Apartment,20,Entire home/apt,5.0
7,1,3,240495,190,Apartment,29,Entire home/apt,5.0
8,1,2,12202079,75,House,2,Private room,0.0
9,1,1,9085732,75,Apartment,28,Private room,5.0
10,0,2,4392242,125,Apartment,137,Entire home/apt,5.0
11,1,2,1112617,96,Apartment,51,Entire home/apt,4.5
12,1,2,3561063,68,Apartment,105,Entire home/apt,4.5
13,1,1,10226996,32,House,6,Private room,4.5
14,0,4,7882104,125,Apartment,26,Entire home/apt,5.0
15,1,3,3155265,122,House,116,Entire home/apt,4.5
16,0,2,12019652,65,Condominium,0,Entire home/apt,0.0
17,1,3,11928411,114,Apartment,2,Entire home/apt,0.0
0,1,2,8520726,68,Condominium,3,Private room,4.5
1,1,1,11574642,15,House,3,Shared room,3.5
2,0,3,10066573,92,Apartment,14,Entire home/apt,5.0
3,0,2,9332474,50,Apartment,17,Entire home/apt,5.0
4,1,4,9215039,163,Apartment,16,Entire home/apt,5.0
5,1,3,7132234,70,Bungalow,10,Private room,5.0
6,0,3,12223526,130,Apartment,0,Entire home/apt,0.0
7,1,2,6025182,85,Apartment,34,Private room,5.0
8,0,1,8505480,70,Other,4,Entire home/apt,5.0
9,1,1,2176992,60,Apartment,19,Private room,5.0
10,0,2,2432627,76,Apartment,27,Entire home/apt,5.0
11,1,1,12039705,48,Bed & Breakfast,2,Shared room,0.0
12,1,2,8838057,100,Apartment,20,Entire home/apt,5.0
13,1,3,240495,190,Apartment,29,Entire home/apt,5.0
14,1,2,12202079,75,House,2,Private room,0.0
15,1,2,6836294,83,Apartment,12,Entire home/apt,5.0
16,1,2,5288741,109,Apartment,13,Entire home/apt,5.0
17,1,2,1112617,96,Apartment,51,Entire home/apt,4.5
0,1,2,6870703,90,Apartment,25,Private room,5.0
1,1,1,10851855,69,House,8,Private room,4.5
2,1,1,11867299,65,Bed & Breakfast,3,Private room,5.0
3,0,2,9014652,115,Apartment,32,Entire home/apt,5.0
4,1,1,4729118,85,Apartment,83,Private room,5.0
5,1,2,6490927,70,House,6,Private room,5.0
6,1,3,10898219,85,Apartment,3,Entire home/apt,4.0
7,0,2,8645700,95,Apartment,6,Entire home/apt,4.5
8,1,1,11822406,60,Apartment,5,Private room,4.0
9,1,2,2187594,85,Apartment,33,Entire home/apt,5.0
10,0,2,5267060,80,Apartment,81,Entire home/apt,5.0
11,0,2,6260852,90,Apartment,16,Entire home/apt,5.0
12,1,2,5774984,130,Apartment,10,Entire home/apt,4.5
13,1,3,5140121,60,House,40,Private room,5.0
14,1,2,11732393,89,Condominium,0,Entire home/apt,0.0
15,1,3,4631075,119,Apartment,14,Entire home/apt,4.5
16,1,2,1601459,40,House,37,Private room,5.0
17,1,2,8519737,37,House,23,Private room,5.0
0,2,4,2544993,90,Apartment,23,Entire home/apt,5.0
1,1,2,4878010,65,Apartment,40,Private room,5.0
2,1,1,4380,52,House,148,Private room,5.0
3,1,1,6870231,150,Townhouse,5,Private room,5.0
4,1,2,9548138,66,House,4,Private room,4.5
5,1,2,4964259,95,Apartment,7,Entire home/apt,4.5
6,1,2,6870703,90,Apartment,25,Private room,5.0
7,1,2,5720219,69,House,20,Private room,5.0
8,1,1,10851855,69,House,8,Private room,4.5
9,1,1,11867299,65,Bed & Breakfast,3,Private room,5.0
10,0,2,9014652,115,Apartment,32,Entire home/apt,5.0
11,1,2,6034374,31,House,62,Private room,4.5
12,1,1,4729118,85,Apartment,83,Private room,5.0
13,1,2,6490927,70,House,6,Private room,5.0
14,1,3,10898219,85,Apartment,3,Entire home/apt,4.0
15,0,2,8645700,95,Apartment,6,Entire home/apt,4.5
16,1,1,11822406,60,Apartment,5,Private room,4.0
17,0,2,5267060,80,Apartment,81,Entire home/apt,5.0
0,1,3,12210693,125,House,1,Entire home/apt,0.0
1,1,2,8151350,90,Apartment,20,Private room,5.0
2,1,2,10996933,38,Condominium,1,Private room,0.0
3,1,4,9683081,150,Apartment,5,Entire home/apt,5.0
4,2,4,5089898,250,Apartment,22,Entire home/apt,5.0
5,1,2,9221061,46,House,18,Private room,4.5
6,1,3,8671686,65,Apartment,27,Entire home/apt,5.0
7,1,2,6810814,50,House,4,Private room,5.0
8,1,2,12038399,125,Condominium,4,Entire home/apt,5.0
9,0,2,9090864,95,Apartment,25,Entire home/apt,5.0
