,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
15,1.0,1,6321615,80,House,4,Private room,5.0
16,1.0,2,8181598,60,Apartment,20,Private room,5.0
17,1.0,2,12039119,99,Condominium,1,Private room,0.0
0,1.0,2,6884326,82,House,86,Private room,4.5
1,1.0,1,12360578,28,House,2,Private room,0.0
2,0.0,2,9617255,69,Apartment,10,Entire home/apt,5.0
3,1.0,2,10034077,49,Apartment,4,Private room,5.0
4,1.0,4,11587380,75,Apartment,2,Entire home/apt,0.0
5,1.0,1,6321615,80,House,4,Private room,5.0
6,1.0,2,8181598,60,Apartment,20,Private room,5.0
7,1.0,2,1743135,99,Apartment,0,Entire home/apt,0.0
8,1.0,2,12039119,99,Condominium,1,Private room,0.0
9,1.0,2,3893818,41,Apartment,14,Private room,5.0
10,1.0,1,11140811,27,House,2,Private room,0.0
11,1.0,2,4150582,49,Loft,46,Entire home/apt,5.0
12,1.0,2,7430730,41,Apartment,32,Private room,4.5
13,1.0,1,7363695,45,Townhouse,10,Private room,4.5
14,0.0,2,7350092,150,Loft,19,Entire home/apt,5.0
15,1.0,2,39742,90,Apartment,311,Private room,4.5
16,1.0,2,8162495,55,Loft,48,Private room,4.5
17,2.0,5,3358803,188,Condominium,1,Entire home/apt,0.0
0,1.0,2,8826603,60,Apartment,25,Private room,5.0
1,2.0,3,11140289,70,Apartment,6,Entire home/apt,5.0
2,1.0,1,9294221,73,Apartment,5,Private room,5.0
3,1.0,2,12206058,99,Apartment,0,Entire home/apt,0.0
4,2.0,6,12466030,98,Apartment,0,Entire home/apt,0.0
5,1.0,2,12308104,38,Apartment,3,Private room,5.0
6,1.0,2,9778034,75,Apartment,23,Private room,5.0
7,1.0,2,10588800,29,Apartment,3,Private room,5.0
8,1.0,2,7699433,35,Apartment,32,Private room,4.5
9,1.0,3,1614802,55,Other,59,Private room,5.0
10,1.0,2,12379211,22,Apartment,0,Private room,0.0
11,1.0,2,11061393,100,Apartment,3,Entire home/apt,5.0
12,1.0,2,10822163,60,Townhouse,2,Private room,0.0
13,1.0,1,8399455,47,Apartment,2,Private room,0.0
14,1.0,2,11322164,65,Apartment,4,Entire home/apt,5.0
15,1.0,2,6272432,65,Apartment,34,Private room,4.5
16,1.0,3,10074228,85,Condominium,1,Private room,0.0
17,1.0,2,9960593,50,Apartment,11,Entire home/apt,4.5
0,0.0,3,8148875,95,Apartment,6,Entire home/apt,5.0
1,1.0,3,12404737,153,Apartment,0,Entire home/apt,0.0
2,1.0,2,7696980,70,Condominium,3,Private room,5.0
3,1.0,4,6202588,100,Apartment,9,Entire home/apt,5.0
4,1.0,2,8387305,60,Apartment,3,Entire home/apt,5.0
5,1.0,2,10656447,50,Apartment,4,Private room,4.5
6,1.0,2,7378586,55,Condominium,17,Private room,5.0
7,1.0,2,6261301,168,Apartment,61,Entire home/apt,5.0
8,1.0,2,9995220,40,Apartment,8,Private room,5.0
9,1.0,2,11374910,50,Townhouse,4,Private room,5.0
10,1.0,2,4267901,115,Apartment,90,Private room,5.0
11,2.0,4,12434809,161,Apartment,0,Entire home/apt,0.0
12,1.0,2,6888244,50,Apartment,3,Private room,5.0
13,1.0,2,607502,50,Apartment,111,Private room,4.5
14,1.0,1,88596,35,Apartment,23,Private room,4.5
15,1.0,2,11835343,34,Apartment,3,Private room,4.0
