efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6BMXV03.2S54,21723,7,1.0,-1.0,-1,L1,LEV
6BMXV03.2S54,21724,3,1.0,-1.0,-1,B9,BIN 9
6BMXV03.2S54,21724,7,1.0,-1.0,-1,L1,LEV
6GDXV01.6D04,21725,9,5.0,-1.0,1,B5,BIN 5
6GDXV01.6D04,21725,9,6.0,-1.0,1,U2,ULEV II
6GDXV01.6D04,21726,9,5.0,-1.0,1,B5,BIN 5
6GDXV01.6D04,21726,9,6.0,-1.0,1,U2,ULEV II
6GMXV02.0018,21727,9,2.0,-1.0,-1,B8,BIN 8
6GMXV02.2030,21728,7,9.0,-1.0,1,S1,SULEV
6GMXV02.4029,21728,3,5.0,-1.0,1,B5,BIN 5
