efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6ADXV02.0352,22092,3,5.0,-1.0,1,B5,BIN 5
6ADXV02.0352,22092,7,6.0,-1.0,1,U2,ULEV II
6ADXV02.0352,22093,3,5.0,-1.0,-1,B5,BIN 5
6ADXV02.0352,22093,7,6.0,-1.0,1,U2,ULEV II
6ADXV03.1374,22094,3,5.0,-1.0,-1,B5,BIN 5
6ADXV03.1374,22094,7,5.0,-1.0,-1,L2,LEV II
6ADXV03.1364,22095,3,1.0,-1.0,-1,B9,BIN 9
6ADXV03.1364,22095,7,1.0,-1.0,-1,L1,LEV
6ADXV03.1374,22095,3,5.0,-1.0,-1,B5,BIN 5
6ADXV03.1374,22095,7,5.0,-1.0,-1,L2,LEV II
6ADXV04.2345,22096,3,1.0,-1.0,-1,B9,BIN 9
6ADXV04.2345,22096,7,1.0,-1.0,-1,L1,LEV
6ADXV04.2345,22097,3,1.0,-1.0,-1,B9,BIN 9
6ADXV04.2345,22097,7,1.0,-1.0,-1,L1,LEV
6BMXV03.0N52,22098,3,5.0,-1.0,-1,B5,BIN 5
6BMXV03.0N52,22098,7,6.0,-1.0,1,U2,ULEV II
6BMXV03.0N52,22099,3,5.0,-1.0,-1,B5,BIN 5
6BMXV03.0N52,22099,7,6.0,-1.0,1,U2,ULEV II
6NTXV01.8PEA,22102,3,5.0,-1.0,1,B5,BIN 5
6NTXV01.8PEA,22102,7,6.0,-1.0,1,U2,ULEV II
6NTXV01.8VMB,22103,3,1.0,-1.0,-1,B9,BIN 9
6NTXV01.8VMB,22103,7,1.0,-1.0,-1,L1,LEV
6NTXV01.8PEA,22104,3,5.0,-1.0,1,B5,BIN 5
6NTXV01.8PEA,22104,7,6.0,-1.0,1,U2,ULEV II
6NTXV01.8VRA,22105,3,1.0,-1.0,-1,B10,BIN 10
6NTXV01.8VRA,22105,7,1.0,-1.0,-1,L1,LEV
6FJXV02.5PRA,22106,3,5.0,-1.0,-1,B5,BIN 5
6FJXV02.5PRA,22106,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22106,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22106,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22107,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22107,7,5.0,-1.0,-1,L2,LEV II
6FJXV02.5PRA,22108,3,5.0,-1.0,-1,B5,BIN 5
6FJXV02.5PRA,22108,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22108,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22108,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22109,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22109,7,5.0,-1.0,-1,L2,LEV II
6GMXV02.0003,22110,9,2.0,-1.0,-1,B8,BIN 8
6GMXV02.0003,22111,9,2.0,-1.0,-1,B8,BIN 8
6GMXV02.8004,22112,9,6.0,-1.0,-1,B4,BIN 4
6GMXV02.8004,22113,9,6.0,-1.0,-1,B4,BIN 4
6FJXV02.5PRA,22114,3,5.0,-1.0,-1,B5,BIN 5
6FJXV02.5PRA,22114,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22115,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22115,7,5.0,-1.0,-1,L2,LEV II
6FJXV02.5PRA,22116,3,5.0,-1.0,-1,B5,BIN 5
6FJXV02.5PRA,22116,7,5.0,-1.0,-1,L2,LEV II
6FJXX02.5MTC,22117,3,5.0,-1.0,-1,B5,BIN 5
6FJXX02.5MTC,22117,7,5.0,-1.0,-1,L2,LEV II
6SKXV2.295D1,22118,3,2.0,-1.0,-1,B8,BIN 8
6SKXV2.295D1,22119,3,2.0,-1.0,-1,B8,BIN 8
6SKXV2.295D1,22120,3,2.0,-1.0,-1,B8,BIN 8
6TYXV01.8PEA,22123,3,5.0,-1.0,1,B5,BIN 5
